38,29,277,31,276,98,38,96
593,35,597,34,598,33,603,33,606,33,611,33,615,33,615,41,611,41,607,41,602,41,600,41,595,42,590,42
320,49,543,49,543,73,320,73
174,96,292,96,292,123,174,123
201,123,291,123,291,137,201,137
309,133,376,133,376,146,309,146
496,133,546,133,546,144,496,144
495,144,617,144,617,166,495,166
309,145,428,145,428,166,309,166
307,168,479,168,479,189,307,189
219,196,297,196,297,213,219,213
205,215,286,215,286,231,205,231
204,235,317,235,317,250,204,250
218,253,379,253,379,270,218,270
204,277,345,277,345,294,204,294
308,302,548,300,548,317,308,319
203,301,282,301,282,317,203,317
227,325,417,323,417,339,227,342
38,354,202,339,205,378,41,393
228,349,332,347,332,363,228,366
211,373,434,373,434,386,211,386
