19,14,195,13,195,43,20,44
20,42,158,42,158,59,20,59
168,60,305,58,305,75,168,76
169,78,265,76,266,89,169,91
168,93,178,92,197,93,215,90,231,90,254,90,267,91,267,105,254,104,231,104,215,104,199,107,178,106,168,108
182,105,288,104,288,121,182,122
179,125,231,125,231,139,179,139
180,139,269,139,269,153,180,153
180,155,285,155,285,167,180,167
179,168,193,168,215,168,235,168,260,168,282,168,303,168,303,183,283,183,260,183,235,183,215,183,193,183,179,183
168,191,221,187,221,200,169,203
258,190,310,189,311,201,258,202
21,194,33,194,33,246,21,246
168,205,245,200,246,213,169,219
257,202,329,202,329,215,257,215
169,218,244,215,244,229,170,233
258,217,333,217,333,230,258,230
169,233,234,230,235,243,170,246
170,245,237,245,237,258,170,258
25,256,257,262,256,294,25,288
289,267,378,266,378,287,289,287
