527,52,550,53,548,226,525,226
36,54,62,54,59,183,33,182
222,61,249,60,251,296,224,297
557,78,582,78,581,629,556,629
282,87,314,87,311,640,279,640
485,106,514,106,514,298,485,298
408,122,437,121,441,266,413,267
441,142,470,141,475,299,447,300
153,164,185,164,185,523,153,523
85,200,117,200,117,503,85,503
186,245,218,245,220,492,187,492
520,276,548,276,550,629,522,629
442,387,471,386,477,548,448,549
359,409,384,409,382,642,357,642
225,412,251,412,251,637,225,637
334,437,359,437,359,640,334,640
412,445,436,444,439,546,415,547
312,457,335,457,335,640,312,640
251,454,281,454,281,640,251,640
489,470,517,470,517,629,489,629
387,503,412,503,412,642,387,642
201,507,217,507,217,523,201,523
57,661,119,665,102,943,40,939
502,669,563,662,594,917,533,924
