524,65,575,63,638,62,717,62,829,66,890,62,941,61,941,90,890,91,829,94,716,90,639,91,575,92,524,93
103,65,412,65,412,125,103,125
1063,76,1113,76,1113,99,1063,99
536,103,935,103,935,138,536,138
429,192,875,189,875,228,429,231
455,240,735,240,735,279,455,279
429,283,736,283,736,320,429,320
851,286,1126,283,1127,318,851,320
455,328,598,328,598,363,455,363
429,363,598,363,598,397,429,397
429,397,766,397,766,429,429,429
455,427,830,427,830,459,455,459
680,448,690,448,690,461,680,461
426,496,445,498,472,499,501,498,530,499,564,495,583,494,584,515,565,516,532,521,501,520,471,520,445,519,426,518
661,494,854,491,855,523,662,525
909,515,933,515,933,592,909,592
431,528,630,528,630,558,431,558
430,603,545,599,546,626,431,631
642,608,668,606,702,605,731,604,763,602,796,603,828,603,833,627,801,627,764,626,733,628,702,629,669,630,642,631
67,630,406,630,406,697,67,697
431,633,828,633,828,663,431,663
873,635,1025,635,1025,663,873,663
431,676,723,676,723,701,431,701
