514,38,585,36,586,54,515,56
336,39,365,39,365,52,336,52
79,40,98,41,95,154,76,153
144,42,163,42,163,76,144,76
27,48,79,45,93,305,41,308
107,57,134,57,129,339,103,339
336,61,484,61,484,79,336,79
504,64,561,64,561,80,504,80
337,89,404,89,404,105,337,105
497,90,585,88,586,107,498,109
487,118,593,115,593,132,488,136
337,118,436,118,436,132,337,132
337,144,474,143,474,159,337,160
335,168,505,168,505,186,335,186
337,199,404,201,403,217,337,214
173,240,311,240,311,257,173,257
148,264,356,264,356,283,148,283
323,285,355,285,355,304,323,304
148,305,311,305,311,324,148,324
526,331,576,331,576,361,526,361
