602,87,1255,94,1254,148,601,142
559,141,1297,147,1297,194,558,188
159,189,395,192,394,244,158,241
1396,198,1675,198,1675,241,1396,241
1388,238,1686,238,1686,292,1388,292
153,244,403,244,403,298,153,298
147,374,726,374,726,428,147,428
144,431,641,431,641,488,144,488
738,528,1098,528,1098,579,738,579
141,533,553,533,553,582,141,582
139,587,604,587,604,655,139,655
738,587,1181,587,1181,650,738,650
738,695,1036,695,1036,740,738,740
130,701,499,697,499,745,130,748
127,760,272,760,272,814,127,814
518,853,867,837,873,971,524,986
1410,920,1634,915,1635,968,1411,973
