167,47,397,57,395,105,165,95
529,63,1152,68,1151,122,528,117
563,167,741,167,741,196,563,196
563,194,706,194,706,216,563,216
565,228,902,228,902,259,565,259
563,255,845,255,845,277,563,277
565,292,720,292,720,322,565,322
565,326,735,326,735,355,565,355
563,353,588,353,588,375,563,375
612,353,712,353,712,375,612,375
882,388,1031,388,1031,416,882,416
565,393,722,389,723,419,565,423
796,392,847,392,847,418,796,418
565,426,749,426,749,459,565,459
475,431,486,432,491,431,501,434,506,434,517,433,528,432,528,453,517,455,508,455,497,455,487,453,480,453,469,452
565,457,706,457,706,479,565,479
565,493,737,489,737,520,565,524
561,529,581,528,613,527,658,525,681,526,706,524,738,524,739,553,707,554,680,555,658,555,614,557,581,557,561,558
565,553,714,553,714,577,565,577
722,594,751,594,751,624,722,624
643,596,684,596,684,626,643,626
579,600,600,600,600,622,579,622
184,626,721,645,719,719,181,701
