58,51,860,51,860,161,58,161
43,173,347,173,347,212,43,212
847,205,1115,205,1115,247,847,247
827,245,1140,245,1140,287,827,287
54,280,84,280,84,331,54,331
829,289,1115,289,1115,331,829,331
364,338,490,338,490,371,364,371
360,380,708,380,708,415,360,415
364,432,553,432,553,457,364,457
1126,465,1142,465,1142,540,1126,540
362,468,628,468,628,496,362,496
900,556,937,556,937,596,900,596
360,595,556,595,556,622,360,622
932,595,1052,595,1052,622,932,622
75,628,236,628,236,666,75,666
359,627,385,629,432,628,478,632,514,631,565,628,603,624,604,652,566,655,517,659,477,660,431,655,387,656,360,654
623,633,741,627,742,655,624,662
371,662,395,664,444,663,479,666,498,664,536,664,571,659,570,684,536,689,499,689,478,691,444,688,395,689,371,687
591,679,670,690,665,725,587,715
122,684,258,684,258,714,122,714
