153,47,374,44,374,99,154,102
483,79,704,79,704,107,483,107
388,127,654,125,655,155,388,157
684,134,881,132,881,155,685,157
188,137,293,137,293,171,188,171
147,145,172,145,172,266,147,266
399,154,589,152,590,175,399,178
686,153,878,153,878,176,686,176
401,182,532,182,532,209,401,209
399,209,589,209,589,234,399,234
399,256,680,256,680,279,399,279
426,274,461,275,494,274,543,276,601,277,644,276,679,275,679,295,644,296,601,297,542,297,494,295,461,295,426,294
399,309,497,309,497,326,399,326
528,309,650,309,650,326,528,326
391,328,521,328,521,345,391,345
391,358,480,358,480,375,391,375
620,361,715,361,715,380,620,380
390,382,513,382,513,399,390,399
583,390,718,390,718,415,583,415
390,406,515,406,515,423,390,423
390,429,504,429,504,447,390,447
569,436,720,436,720,469,569,469
390,451,504,451,504,469,390,469
141,458,367,458,367,521,141,521
399,496,651,496,651,513,399,513
713,496,740,496,740,513,713,513
