677,54,867,54,867,84,677,84
58,63,545,59,545,115,59,119
636,87,916,87,916,117,636,117
360,162,738,159,738,194,361,196
46,168,67,168,67,321,46,321
881,169,977,169,977,192,881,192
361,202,512,202,512,232,361,232
244,214,254,214,261,213,272,212,284,213,294,212,304,212,303,225,293,226,283,227,272,226,264,227,252,227,242,228
359,234,492,234,492,263,359,263
358,303,636,299,636,333,359,337
730,301,995,299,995,332,730,334
361,344,700,344,700,370,361,370
380,370,756,370,756,397,380,397
682,425,850,425,850,450,682,450
436,429,550,426,551,450,437,453
437,455,614,450,615,477,438,481
682,453,862,453,862,478,682,478
680,481,857,481,857,507,680,507
61,483,113,480,115,515,63,518
244,479,358,486,356,520,242,513
436,484,657,484,657,507,436,507
509,511,595,511,595,535,509,535
682,511,997,513,997,545,682,543
59,520,107,520,107,534,59,534
290,520,356,520,356,534,290,534
59,579,814,546,816,606,62,639
841,609,865,609,896,609,919,609,950,609,979,609,998,609,998,628,979,628,949,628,919,628,896,628,865,628,841,628
