332,391,1057,400,1055,594,329,585
346,658,2208,652,2208,893,347,899
584,1094,1855,1068,1858,1206,587,1232
598,1314,1452,1288,1457,1449,603,1475
607,1521,1996,1460,2003,1638,615,1699
620,1715,1524,1703,1526,1856,622,1867
622,1924,2170,1866,2176,2013,628,2072
638,2125,1697,2086,1702,2232,644,2272
652,2347,1370,2306,1378,2450,661,2491
462,2641,1771,2527,1780,2630,471,2744
446,2772,634,2754,950,2724,1223,2702,1541,2666,1914,2644,2101,2626,2113,2733,1925,2750,1545,2773,1234,2808,958,2830,645,2860,458,2879
