49,37,271,27,273,71,51,81
305,50,459,50,459,67,305,67
75,84,134,84,134,98,75,98
196,96,373,95,373,116,196,117
385,98,533,97,533,116,385,117
261,119,366,119,366,137,261,137
385,121,534,119,534,137,385,138
212,126,239,126,239,137,212,137
213,145,328,145,328,163,213,163
184,155,202,154,203,163,185,165
195,164,319,164,319,181,195,181
213,181,371,182,370,200,213,199
202,208,224,207,252,206,293,206,326,207,364,206,386,207,386,220,364,219,326,220,293,219,252,219,224,220,202,221
212,220,369,220,369,234,212,234
350,239,453,237,453,253,351,255
196,244,268,239,269,252,197,258
493,240,535,239,535,253,494,254
197,261,356,259,356,275,197,277
197,284,294,282,295,298,197,299
317,284,419,282,420,298,318,300
477,283,538,283,538,299,477,299
445,287,458,287,458,298,445,298
63,304,87,304,168,307,216,307,301,306,363,306,387,305,387,319,363,320,301,320,216,320,168,321,86,317,62,317
482,324,536,324,536,336,482,336
