158,166,367,166,367,196,158,196
140,188,158,188,158,197,140,197
189,199,339,199,339,216,189,216
180,224,349,223,349,240,180,242
374,224,509,224,509,242,374,242
37,226,55,226,55,301,37,301
193,242,322,240,323,259,193,261
190,267,265,267,265,284,190,284
181,284,234,284,234,299,181,299
181,301,292,301,292,315,181,315
189,313,217,314,273,314,317,315,355,314,388,314,416,313,416,329,388,330,355,330,317,331,273,330,217,330,189,329
181,341,236,339,237,353,182,355
180,353,274,351,274,367,180,369
315,356,412,356,412,369,315,369
180,367,274,367,274,383,180,383
214,405,269,401,270,416,215,419
304,403,391,401,392,417,305,419
213,417,390,417,390,433,213,433
62,415,174,424,171,457,59,447
213,439,235,439,271,439,294,439,324,439,360,439,382,439,382,451,360,451,324,451,294,451,271,451,235,451,213,451
