134,262,171,250,225,230,275,216,301,208,359,190,390,180,399,208,368,218,309,236,283,245,234,258,182,278,145,289
260,259,270,256,289,252,303,247,317,242,332,237,342,234,347,254,337,257,324,261,311,266,297,272,273,277,263,279
268,339,300,327,345,312,396,293,457,275,505,260,542,249,549,270,512,281,464,296,403,315,352,334,307,348,276,360
273,283,283,280,308,271,325,266,340,260,360,254,370,250,377,269,367,273,346,279,331,285,314,290,288,300,278,303
382,328,396,324,407,319,421,315,435,309,457,303,466,300,471,319,462,323,442,328,427,334,413,338,401,343,387,348
319,399,340,392,382,378,434,361,466,349,503,338,542,325,549,347,510,361,473,371,442,383,389,401,347,414,326,421
276,364,285,361,307,353,322,348,344,341,366,335,375,332,381,349,372,352,350,358,327,366,313,371,292,378,283,381
283,389,301,380,315,376,329,369,351,364,373,357,384,355,391,375,380,377,358,384,336,390,321,396,308,401,290,409
362,430,386,416,408,409,427,402,459,401,470,388,493,371,510,404,487,421,470,436,432,438,421,443,393,452,370,465
357,482,384,473,443,454,501,435,534,423,574,410,605,399,611,417,580,428,540,441,507,453,449,472,390,491,363,500
340,560,348,557,369,551,386,545,398,541,420,536,428,534,432,550,423,552,403,557,392,560,375,566,353,573,344,576
