187,42,660,42,660,85,187,85
48,82,173,82,173,103,48,103
246,85,556,85,556,108,246,108
48,102,196,102,196,112,48,112
276,130,467,130,467,155,276,155
550,133,608,133,608,152,550,152
703,150,742,167,712,236,673,218
277,167,396,167,396,191,277,191
736,177,758,182,742,264,719,259
278,191,472,191,472,216,278,216
280,224,505,224,505,244,280,244
280,246,452,246,452,266,280,266
716,310,736,311,726,417,706,415
277,321,448,321,448,345,277,345
276,351,458,351,458,373,276,373
497,356,505,358,516,360,522,360,531,360,539,359,548,357,547,369,538,371,532,372,523,372,514,372,505,370,497,368
498,372,506,372,516,374,523,373,533,374,540,373,546,373,547,383,542,384,532,384,524,384,514,384,505,383,497,382
278,381,465,381,465,403,278,403
47,399,456,405,456,438,47,432
420,434,438,431,439,440,421,443
368,433,417,436,417,446,368,443
277,435,351,435,351,453,277,453
48,440,211,440,211,481,48,481
337,461,533,461,533,481,337,481
278,462,320,462,320,480,278,480
