47,14,146,14,146,34,47,34
176,21,212,21,212,30,176,30
174,30,215,30,215,38,174,38
103,48,128,48,128,55,103,55
103,61,152,61,152,71,103,71
103,72,160,72,160,80,103,80
106,81,208,81,208,88,106,88
113,89,122,89,131,89,149,88,162,89,177,89,186,89,186,94,177,94,162,94,149,93,132,93,122,94,113,94
97,104,194,102,194,113,97,115
104,118,172,118,172,127,104,127
182,121,203,121,203,127,182,127
98,130,202,130,202,138,98,138
97,140,173,140,173,149,97,149
16,151,77,151,77,162,16,162
135,159,196,159,196,164,135,164
