25,36,61,36,61,714,25,714
45,40,65,40,65,89,45,89
320,36,421,36,421,53,320,53
104,41,129,43,124,116,99,114
65,75,82,75,82,205,65,205
102,131,148,134,139,269,93,266
44,228,61,228,61,364,44,364
425,282,474,282,476,517,427,517
93,289,114,289,114,535,93,535
118,287,138,287,138,419,118,419
142,289,162,288,164,386,144,386
191,287,213,287,213,600,191,600
217,289,238,289,236,548,215,547
167,287,188,287,188,510,167,510
239,287,265,287,265,593,239,593
268,286,291,286,291,574,268,574
324,287,349,287,349,422,324,422
296,286,320,286,320,401,296,401
358,311,424,311,424,674,358,674
428,535,450,535,449,715,426,715
42,641,61,641,61,768,42,768
