34,31,618,24,619,66,35,73
569,66,582,61,610,52,632,53,648,55,676,65,692,72,684,88,668,81,643,73,632,70,614,70,587,79,574,83
544,83,644,78,646,102,545,107
279,104,763,102,763,131,280,133
38,111,56,111,56,194,38,194
282,146,393,146,393,167,282,167
281,171,353,171,353,191,281,191
12,222,42,222,42,310,12,310
281,226,522,226,522,247,281,247
296,247,463,247,463,270,296,270
448,282,516,282,516,301,448,301
282,283,342,283,342,301,282,301
468,296,761,292,761,338,469,342
0,297,12,297,12,327,0,327
303,301,405,301,405,320,303,320
282,337,442,337,442,354,282,354
471,337,553,337,553,354,471,354
389,355,398,356,412,355,419,357,430,356,435,353,444,349,451,366,442,370,430,374,421,375,409,373,400,374,391,373
306,357,325,357,325,375,306,375
495,357,540,357,540,375,495,375
281,387,417,387,417,404,281,404
282,413,447,413,447,431,282,431
34,413,263,412,264,466,35,468
292,447,505,447,505,466,292,466
