135,263,171,251,227,230,275,217,319,204,360,190,391,180,400,208,369,217,328,231,283,245,236,257,182,277,146,289
269,263,279,258,292,251,303,247,318,242,331,238,341,234,345,255,335,258,325,262,311,266,300,270,288,276,279,281
267,340,299,328,347,312,395,295,456,276,505,260,542,248,548,270,512,281,463,298,402,316,354,333,306,349,274,361
272,282,282,280,307,271,326,267,340,261,360,255,370,251,377,269,367,273,346,280,332,286,314,290,287,299,277,301
381,331,397,325,406,320,421,316,436,310,456,305,465,302,470,320,461,323,441,328,427,333,412,337,401,342,386,349
72,310,106,310,106,342,72,342
319,398,356,388,384,379,424,367,478,348,502,339,538,326,545,347,509,361,485,369,431,387,391,400,363,409,326,419
278,363,292,358,308,353,322,348,343,342,358,336,375,330,382,349,364,355,350,361,327,367,314,372,299,377,285,382
284,388,300,383,315,377,330,372,353,365,372,359,381,356,387,374,378,377,358,383,336,390,321,395,306,401,290,406
360,433,382,419,408,411,425,404,458,404,471,392,499,374,515,404,487,422,469,437,431,437,421,443,388,453,366,467
357,484,384,475,432,459,501,436,534,425,574,410,605,399,611,416,580,428,540,442,507,453,437,476,390,492,363,501
341,561,349,558,368,552,385,546,397,542,412,538,428,532,432,548,416,553,401,557,390,561,374,567,353,573,345,576
