33,29,265,16,267,55,35,67
546,34,588,34,588,51,546,51
309,37,500,37,500,57,309,57
244,107,311,107,311,121,244,121
392,111,567,111,567,132,392,132
226,124,334,124,334,138,226,138
392,135,564,135,564,155,392,155
226,141,302,141,302,156,226,156
244,161,329,161,329,181,244,181
244,182,317,182,317,201,244,201
245,204,338,204,338,219,245,219
245,220,385,220,385,234,245,234
225,249,396,249,396,270,225,270
407,250,570,249,570,270,408,271
450,276,592,276,592,295,450,295
226,278,301,278,301,292,226,292
338,278,431,278,431,292,338,292
223,295,236,294,260,293,273,292,292,294,315,292,327,293,329,306,317,306,292,307,273,306,260,306,236,308,224,309
339,294,431,294,431,308,339,308
224,311,235,310,261,308,274,308,299,309,318,309,331,309,331,324,318,323,298,323,274,322,262,323,235,324,225,325
463,313,590,313,590,339,463,339
65,327,177,323,178,349,66,352
247,334,300,334,300,347,247,347
239,359,416,359,416,374,239,374
