336,36,366,38,365,52,336,50
514,37,585,35,586,54,515,55
80,39,100,40,95,153,74,152
144,41,163,41,163,75,144,75
26,47,79,43,95,304,42,307
108,56,134,57,129,338,102,338
336,60,484,60,484,78,336,78
504,65,561,62,562,79,504,81
337,88,404,88,404,104,337,104
498,88,585,87,586,106,499,107
487,117,593,114,593,132,488,135
337,117,436,117,436,131,337,131
336,143,474,142,474,158,336,159
335,167,505,167,505,185,335,185
337,198,404,200,403,216,337,213
173,237,311,239,311,257,173,255
148,263,357,263,357,282,148,282
323,284,355,284,355,303,323,303
148,305,311,305,311,323,148,323
525,330,583,330,583,360,525,360
