543,24,693,30,692,74,541,68
235,33,485,36,485,64,234,61
41,38,206,38,206,57,41,57
737,36,799,36,799,95,737,95
520,62,538,62,538,71,520,71
519,76,646,76,646,99,519,99
342,79,379,79,379,99,342,99
237,119,386,119,386,143,237,143
238,189,252,189,252,199,238,199
235,204,326,199,327,225,236,229
237,246,452,246,452,270,237,270
520,249,738,246,738,268,520,271
339,290,646,290,646,313,339,313
291,316,357,316,357,327,291,327
670,316,727,316,727,325,670,325
516,331,540,331,582,331,617,332,658,331,697,331,734,330,733,351,696,352,658,352,618,353,581,353,540,353,516,352
236,332,430,332,430,354,236,354
25,393,60,393,60,444,25,444
25,473,691,469,691,495,25,498
25,474,781,474,781,564,25,564
