649,45,1079,46,1079,83,649,83
145,48,580,74,574,172,140,147
378,140,578,140,578,162,378,162
456,169,768,169,768,205,456,205
874,170,998,170,998,204,874,204
458,202,768,202,768,238,458,238
476,246,612,246,612,276,476,276
456,274,742,274,742,304,456,304
456,306,720,306,720,332,456,332
478,330,558,330,558,354,478,354
478,351,527,352,593,352,664,353,730,352,816,351,865,350,865,377,816,378,730,379,665,380,593,379,527,379,478,379
456,380,758,380,758,418,456,418
456,422,758,422,758,458,456,458
148,424,178,424,178,572,148,572
456,462,756,462,756,486,456,486
455,489,623,486,624,509,456,512
468,516,596,516,596,538,468,538
453,540,629,536,630,561,454,565
780,556,862,556,862,608,780,608
456,564,656,564,656,588,456,588
144,593,511,600,509,661,143,653
567,633,795,633,795,655,567,655
928,640,1144,640,1144,668,928,668
626,652,784,652,784,674,626,674
