60,47,858,47,858,159,60,159
43,173,347,173,347,212,43,212
847,205,1113,205,1113,247,847,247
911,243,1140,243,1140,285,911,285
829,265,889,265,889,285,829,285
827,287,1115,287,1115,329,827,329
364,336,490,336,490,369,364,369
360,380,708,380,708,413,360,413
364,430,553,430,553,457,364,457
1126,465,1142,465,1142,538,1126,538
362,466,628,466,628,494,362,494
900,556,933,556,933,595,900,595
360,593,556,593,556,622,360,622
932,595,1052,595,1052,620,932,620
75,628,236,628,236,664,75,664
355,627,387,629,435,627,479,630,513,632,565,626,603,623,604,651,566,654,516,660,478,658,434,654,389,656,357,655
620,629,642,632,657,632,677,633,700,630,730,628,742,627,743,650,731,652,700,653,680,656,656,655,645,655,624,652
362,662,567,662,567,690,362,690
124,683,258,683,258,712,124,712
591,683,640,683,640,716,591,716
