49,34,272,28,274,73,51,79
305,50,459,50,459,66,305,66
75,84,134,84,134,96,75,96
196,95,373,93,373,115,196,116
385,98,532,96,532,115,385,116
261,118,365,118,365,136,261,136
385,120,534,118,534,136,385,137
184,128,238,121,240,135,186,143
214,144,328,144,328,162,214,162
184,153,203,153,203,164,184,164
194,163,319,163,319,180,194,180
210,180,230,180,263,180,290,181,316,180,350,181,373,181,374,199,350,199,316,198,290,198,263,198,230,198,210,197
200,207,224,206,252,205,293,205,326,205,364,205,388,205,388,219,364,219,326,219,293,219,252,219,224,219,200,220
213,219,369,219,369,233,213,233
351,238,453,236,453,252,351,254
493,238,535,237,535,251,494,253
196,243,267,238,268,251,197,256
196,260,357,258,357,274,196,276
197,283,295,281,296,297,197,298
318,283,420,281,421,297,318,298
477,282,537,281,538,297,477,298
445,286,458,286,458,296,445,296
31,294,429,306,428,333,30,321
482,323,536,323,536,336,482,336
