87,78,887,78,887,175,87,175
81,212,609,212,609,275,81,275
612,337,1112,337,1112,403,612,403
1212,337,1643,337,1643,403,1212,403
612,400,1081,400,1081,468,612,468
1215,406,1643,406,1643,468,1215,468
1700,418,1840,418,1840,459,1700,459
609,496,1128,496,1128,553,609,553
615,562,1050,562,1050,609,615,609
615,615,1103,615,1103,665,615,665
103,721,137,721,137,843,103,843
1359,646,1878,646,1878,909,1359,909
613,697,746,688,749,743,616,752
1033,693,1060,694,1082,703,1127,690,1166,689,1202,691,1229,693,1227,747,1199,745,1173,743,1131,744,1091,756,1049,747,1022,746
1034,759,1312,759,1312,818,1034,818
614,755,651,767,700,765,740,777,766,775,828,763,854,757,862,810,835,816,773,828,732,830,702,818,646,820,608,809
771,846,1375,846,1375,896,771,896
87,1028,678,1028,678,1159,87,1159
1659,1093,1812,1093,1812,1140,1659,1140
771,1131,1146,1131,1146,1181,771,1181
1581,1140,1828,1140,1828,1181,1581,1181
