38,5,480,8,479,53,38,51
132,68,456,68,456,93,132,93
96,115,177,112,178,132,97,135
334,127,590,127,590,152,334,152
625,133,706,130,707,149,626,152
75,136,194,136,194,148,75,148
292,138,314,138,314,151,292,151
291,154,464,154,464,177,291,177
290,180,464,180,464,202,290,202
558,180,728,180,728,202,558,202
267,210,484,210,484,230,267,230
266,232,399,232,399,250,266,250
267,255,516,255,516,273,267,273
266,274,500,274,500,294,266,294
266,299,371,297,372,317,266,319
44,311,56,311,56,369,44,369
266,319,390,319,390,338,266,338
432,345,460,341,515,355,543,343,582,349,619,355,655,367,657,407,621,395,577,389,549,383,510,395,453,380,425,384
266,396,440,394,440,414,266,416
446,396,544,396,544,415,446,415
609,399,733,399,733,415,609,415
266,417,358,417,358,433,266,433
382,417,542,417,542,433,382,433
564,417,678,417,678,433,564,433
