336,37,365,37,365,51,336,51
514,37,585,35,586,54,515,55
79,39,99,40,94,153,75,152
144,41,162,41,162,75,144,75
26,46,79,43,93,304,40,307
107,56,134,57,129,338,103,338
336,60,484,60,484,78,336,78
504,65,560,62,561,79,504,81
336,88,404,88,404,104,336,104
497,89,584,87,585,106,498,108
486,117,593,114,593,132,487,135
337,117,435,117,435,131,337,131
336,143,474,142,474,158,336,159
335,167,504,167,504,185,335,185
336,198,344,197,360,199,367,197,380,198,390,198,401,199,402,214,391,213,380,213,368,212,360,215,343,212,335,214
173,238,310,239,310,257,173,255
147,263,356,263,356,282,147,282
323,284,354,284,354,303,323,303
148,305,310,305,310,323,148,323
525,330,576,330,576,360,525,360
