677,54,867,54,867,84,677,84
58,61,545,57,545,113,59,117
636,85,916,85,916,117,636,117
360,162,736,158,737,192,361,196
46,166,65,166,65,321,46,321
881,169,977,169,977,191,881,191
361,201,512,201,512,230,361,230
245,213,252,212,260,212,272,211,286,211,295,211,308,213,304,227,292,225,284,225,273,225,263,226,251,226,244,227
360,234,492,232,493,262,361,263
358,301,634,298,635,332,359,336
730,300,995,300,995,332,730,332
145,332,189,332,189,359,145,359
361,342,698,342,698,369,361,369
380,369,754,367,755,395,380,397
682,425,848,422,849,448,682,451
436,426,522,426,522,451,436,451
435,457,452,455,497,452,517,450,562,451,588,451,614,452,618,476,592,475,562,475,519,474,497,475,454,479,437,481
682,453,861,450,862,476,682,479
680,479,857,479,857,506,680,506
244,478,355,483,353,518,242,513
60,481,112,481,112,515,60,515
436,484,657,484,657,507,436,507
507,511,593,511,593,535,507,535
682,509,997,513,997,545,682,542
57,519,107,519,107,532,57,532
285,517,354,519,354,533,284,530
59,575,814,550,816,611,61,637
845,608,1000,608,1000,629,845,629
713,618,776,618,776,626,713,626
