34,30,618,24,619,65,35,71
569,67,581,62,612,53,633,51,650,55,679,65,695,73,687,89,671,81,646,72,633,69,614,71,587,79,574,84
528,85,644,77,646,100,530,108
280,102,763,102,763,131,280,131
38,111,56,111,56,195,38,195
282,146,393,146,393,166,282,166
281,171,353,171,353,191,281,191
13,225,42,225,42,311,13,311
281,226,522,226,522,247,281,247
296,247,463,247,463,268,296,268
448,282,516,282,516,300,448,300
282,283,342,283,342,301,282,301
468,293,760,293,760,338,468,338
303,301,405,301,405,320,303,320
282,336,442,336,442,355,282,355
471,336,553,336,553,355,471,355
391,356,399,357,412,356,419,357,431,357,436,354,443,350,449,365,442,369,432,373,419,373,412,372,399,373,391,372
306,357,325,357,325,375,306,375
495,357,540,357,540,375,495,375
281,386,417,386,417,405,281,405
283,412,447,412,447,431,283,431
36,413,264,412,265,465,36,467
292,447,505,447,505,465,292,465
